"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICE";
"1";"";"10_PIN_HEADER";"MA05-2";"SV101";"PIN HEADER";"";"";"unknown";"unknown";"";
"1";"";"78LXX";"78LXX";"78L05";"VOLTAGE REGULATOR";"";"";"";"";"";
"1";"";"BTDR-2H";"BTDR-2H";"Z$102";"Accutronics BTDR-2H";"";"";"";"";"";
"1";"";"M03LOCK_NO_SILK";"1X03_LOCK_NO_SILK";"JP102";"Header 3";"";"";"";"";"";
"1";"";"M04POLAR";"MOLEX-1X4";"JP101";"Header 4";"";"";"";"";"";
"2";"";"M06SIP";"1X06";"JP2, JP104";"Header 6";"";"";"";"";"";
"1";"";"RESISTOR7MM";"7MM_RESISTOR";"R110";"Standard resistor, various versions";"";"";"";"";"";
"2";"100K";"RESISTOR7MM";"7MM_RESISTOR";"R22, R23";"Standard resistor, various versions";"";"";"";"";"";
"7";"100k";"RESISTOR7MM";"7MM_RESISTOR";"R4, R5, R8, R9, R12, R13, R21";"Standard resistor, various versions";"";"";"";"";"";
"6";"100n";"C-EU050-024X044";"C050-024X044";"C6, C7, C104, C105, C106, C107";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"10k";"ALPHA-9MMF2A";"EVUF";"EQ";"9 mm Square Rotary Potentiometers";"";"";"";"";"";
"1";"10k";"BOURNS_3362P_TRIMMERP";"BOURNS_3362P_TRIMMER";"VR1";"3362 Series";"";"";"";"";"";
"4";"10k";"RESISTOR7MM";"7MM_RESISTOR";"R3, R6, R104, R105";"Standard resistor, various versions";"";"";"";"";"";
"2";"10uf";"050";"050_020";"C1, C2";"0.22 - 100uF";"";"";"";"";"";
"3";"10uf";"CAP_POLPTH2";"CPOL-RADIAL-10UF-25V";"C101, C102, C103";"Capacitor Polarized";"";"";"";"";"";
"1";"15k";"RESISTOR7MM";"7MM_RESISTOR";"R26";"Standard resistor, various versions";"";"";"";"";"";
"2";"1N4001";"1N4004";"DO41-10";"D101, D102";"DIODE";"";"";"";"";"";
"5";"2.2k";"RESISTOR7MM";"7MM_RESISTOR";"R10, R18, R24, R102, R103";"Standard resistor, various versions";"";"";"";"";"";
"1";"2.2nf ";"C-EU050-024X044";"C050-024X044";"C110";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"22R";"RESISTOR7MM";"7MM_RESISTOR";"R107";"Standard resistor, various versions";"";"";"";"";"";
"3";"22k";"RESISTOR7MM";"7MM_RESISTOR";"R25, R101, R109";"Standard resistor, various versions";"";"";"";"";"";
"1";"22pf";"050X030_0251";"050X030_025";"C5";"47 - 120pF";"";"";"";"";"";
"1";"22uf";"CAP_POLPTH2";"CPOL-RADIAL-10UF-25V";"C109";"Capacitor Polarized";"";"";"";"";"";
"1";"3300pf";"C-EU050-024X044";"C050-024X044";"C108";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"33nf";"C-EU050-024X044";"C050-024X044";"C3, C4";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"3mm";"LED3MM";"LED3MM";"LED1";"LED";"";"";"";"";"";
"1";"4.7k";"RESISTOR7MM";"7MM_RESISTOR";"R106";"Standard resistor, various versions";"";"";"";"";"";
"5";"47k";"RESISTOR7MM";"7MM_RESISTOR";"R1, R2, R7, R16, R20";"Standard resistor, various versions";"";"";"";"";"";
"3";"50k";"ALPHA-9MMF2A";"EVUF";"CV_LEVEL, FB_LEVEL, MIX";"9 mm Square Rotary Potentiometers";"";"";"";"";"";
"2";"6.8k";"RESISTOR7MM";"7MM_RESISTOR";"R11, R19";"Standard resistor, various versions";"";"";"";"";"";
"1";"68k";"RESISTOR7MM";"7MM_RESISTOR";"R108";"Standard resistor, various versions";"";"";"";"";"";
"1";"Close if Brick NOT installed";"SOLDERJUMPERNC2";"SJ_2S-NOTRACE";"SJ101";"Solder Jumper";"";"";"";"";"";
"1";"FROM_TANK";"BTOR1";"BTOR1";"X102";"RCA connectors according to JEITA RC-5231 Cinch";"";"BTOR 1";"1217030";"96K7172";"";
"2";"FUSE";"PTC_FUSEPOLY_FUSE";"C050H075X075";"F101, F102";"";"";"";"";"";"";
"2";"MA08-1";"MA08-1";"MA08-1";"J1, J2";"Pin Header";"";"";"";"";"";
"1";"NE5532";"TL072_";"DIL08";"U7";"Generic Dual Op Amp";"";"";"";"";"";
"1";"SPDT ON-OFF-ON";"SPDT-VERTICAL-UPTOP-SUBMINI";"SPDT-VERTICAL-TOP-SUBMINI-MULTICOMP";"FB_SWITCH";"Vertical SPDT switch in the up position.";"";"";"";"";"R{NAME} {2.NET} {3.NET} 1";
"6";"THONKICONNNEW";"THONKICONNNEW";"WQP-PJ301M-12_JACK";"CV, IN_1, IN_2, MIX_OUT, WET_OUT, X-FADE";"3.5mm socket for Eurorack modular synths";"";"";"";"";"";
"2";"TL072_";"TL072_";"DIL08";"U1, U2";"Generic Dual Op Amp";"";"";"";"";"";
"2";"TL074";"TL074P";"DIL14";"IC102, IC103";"OP AMP";"";"";"";"";"";
"1";"TO_TANK";"BTOR1";"BTOR1";"X101";"RCA connectors according to JEITA RC-5231 Cinch";"";"BTOR 1";"1217030";"96K7172";"";
"1";"VTL5C";"VACTROL_COMPACT";"VACTROL_COMPACT";"V$101";"";"";"";"";"";"";
